;m1_median;m2_mean;qunatile1;qunatile3;standard_dev;coef_of_dist;coef_of_variation;i;Strain
52;4.037846976;4.090306407;3.372437071;4.728074057;1.053931832;0.33573263;0.257665741;3;7op NF+pAct1_TetR
53;4.129649887;4.18858565;3.448181867;4.851230528;1.075284642;0.339750027;0.256717836;5;7op NF+pAct1_TetR
54;4.335352386;4.414076912;3.640980689;5.111819512;1.139345539;0.339266268;0.258116377;8;7op NF+pAct1_TetR
55;5.526465387;5.653995991;4.596519917;6.596194124;1.591717124;0.361836014;0.281520738;12;7op NF+pAct1_TetR
56;6.830303305;6.970717985;5.460431702;8.302495503;2.163161236;0.416096281;0.310321152;15;7op NF+pAct1_TetR
57;8.211280427;8.365404813;6.555128584;9.952424008;2.662950979;0.41373516;0.318329004;17;7op NF+pAct1_TetR
58;10.65596259;10.82900973;8.275786731;13.14096249;3.755683481;0.456568397;0.34681689;21;7op NF+pAct1_TetR
59;11.43276626;11.6179767;8.914096931;14.1265772;3.969052487;0.455924677;0.341630267;23;7op NF+pAct1_TetR
60;13.56014582;13.57027963;10.71877576;16.29394249;4.563311082;0.411143567;0.336272443;25;7op NF+pAct1_TetR
61;16.27053154;16.12086035;12.73646327;19.64747884;5.381969224;0.424756594;0.33385124;30;7op NF+pAct1_TetR
62;19.67097786;19.66451106;15.37340296;23.75976717;6.79734059;0.426331841;0.345665375;35;7op NF+pAct1_TetR
63;20.86614899;20.77464771;16.65696003;24.84401968;6.570464888;0.392360836;0.316273228;40;7op NF+pAct1_TetR
64;23.65809238;23.42516749;18.66695141;28.27747567;7.734135961;0.406225663;0.330163529;50;7op NF+pAct1_TetR
65;26.25313529;25.95587258;20.90964832;31.16160195;8.282975314;0.390503973;0.319117583;60;7op NF+pAct1_TetR
66;33.29380784;32.90526712;27.2259875;38.91673053;9.892841096;0.351138659;0.300646126;75;7op NF+pAct1_TetR
67;41.07747361;40.8030176;33.69420279;48.07349249;11.99390936;0.350052923;0.293946626;100;7op NF+pAct1_TetR
68;57.63610605;57.35795382;48.55428265;66.60062412;15.8230362;0.31310827;0.275864726;150;7op NF+pAct1_TetR
69;67.76472538;68.52962409;58.19087187;79.01561125;17.24787593;0.307309434;0.251684963;200;7op NF+pAct1_TetR
70;71.18278683;72.76095545;61.9124621;83.4205529;17.86410757;0.302152975;0.245517771;300;7op NF+pAct1_TetR
71;70.57800679;72.25351458;61.03898478;82.98942575;17.65914292;0.311009647;0.244405314;400;7op NF+pAct1_TetR
72;74.26308299;75.92996888;64.52565014;86.57330012;18.01659517;0.296885735;0.237279106;600;7op NF+pAct1_TetR
73;0.874121982;0.899415578;0.660494548;1.106982593;0.356975741;0.510784598;0.396897441;0;fry70
74;NA;NA;NA;NA;NA;NA;NA;0.5;fry70
75;NA;NA;NA;NA;NA;NA;NA;1;fry70
76;NA;NA;NA;NA;NA;NA;NA;3;fry70
77;NA;NA;NA;NA;NA;NA;NA;5;fry70
78;NA;NA;NA;NA;NA;NA;NA;8;fry70
79;NA;NA;NA;NA;NA;NA;NA;12;fry70
80;NA;NA;NA;NA;NA;NA;NA;15;fry70
81;NA;NA;NA;NA;NA;NA;NA;17;fry70
82;NA;NA;NA;NA;NA;NA;NA;21;fry70
83;NA;NA;NA;NA;NA;NA;NA;23;fry70
84;NA;NA;NA;NA;NA;NA;NA;25;fry70
85;NA;NA;NA;NA;NA;NA;NA;30;fry70
86;NA;NA;NA;NA;NA;NA;NA;35;fry70
87;NA;NA;NA;NA;NA;NA;NA;40;fry70
88;NA;NA;NA;NA;NA;NA;NA;50;fry70
89;NA;NA;NA;NA;NA;NA;NA;60;fry70
90;NA;NA;NA;NA;NA;NA;NA;75;fry70
91;NA;NA;NA;NA;NA;NA;NA;100;fry70
92;NA;NA;NA;NA;NA;NA;NA;150;fry70
93;NA;NA;NA;NA;NA;NA;NA;200;fry70
94;NA;NA;NA;NA;NA;NA;NA;300;fry70
95;NA;NA;NA;NA;NA;NA;NA;400;fry70
96;NA;NA;NA;NA;NA;NA;NA;600;fry70
97;75.56394768;77.77191381;65.56319886;88.66255974;18.41387941;0.305692881;0.236767729;0;pTDH3
98;NA;NA;NA;NA;NA;NA;NA;0.5;pTDH3
99;NA;NA;NA;NA;NA;NA;NA;1;pTDH3
100;NA;NA;NA;NA;NA;NA;NA;3;pTDH3
101;NA;NA;NA;NA;NA;NA;NA;5;pTDH3
102;NA;NA;NA;NA;NA;NA;NA;8;pTDH3
103;NA;NA;NA;NA;NA;NA;NA;12;pTDH3
104;NA;NA;NA;NA;NA;NA;NA;15;pTDH3
105;NA;NA;NA;NA;NA;NA;NA;17;pTDH3
106;NA;NA;NA;NA;NA;NA;NA;21;pTDH3
107;NA;NA;NA;NA;NA;NA;NA;23;pTDH3
108;NA;NA;NA;NA;NA;NA;NA;25;pTDH3
109;NA;NA;NA;NA;NA;NA;NA;30;pTDH3
110;NA;NA;NA;NA;NA;NA;NA;35;pTDH3
111;NA;NA;NA;NA;NA;NA;NA;40;pTDH3
112;NA;NA;NA;NA;NA;NA;NA;50;pTDH3
113;NA;NA;NA;NA;NA;NA;NA;60;pTDH3
114;NA;NA;NA;NA;NA;NA;NA;75;pTDH3
115;NA;NA;NA;NA;NA;NA;NA;100;pTDH3
116;NA;NA;NA;NA;NA;NA;NA;150;pTDH3
117;NA;NA;NA;NA;NA;NA;NA;200;pTDH3
118;NA;NA;NA;NA;NA;NA;NA;300;pTDH3
119;NA;NA;NA;NA;NA;NA;NA;400;pTDH3
120;NA;NA;NA;NA;NA;NA;NA;600;pTDH3
121;78.97673239;80.8295392;68.12690298;92.17298395;18.85995064;0.304470446;0.233329929;0;no repressor 7op
122;NA;NA;NA;NA;NA;NA;NA;0.5;no repressor 7op
123;NA;NA;NA;NA;NA;NA;NA;1;no repressor 7op
124;NA;NA;NA;NA;NA;NA;NA;3;no repressor 7op
125;NA;NA;NA;NA;NA;NA;NA;5;no repressor 7op
126;NA;NA;NA;NA;NA;NA;NA;8;no repressor 7op
127;NA;NA;NA;NA;NA;NA;NA;12;no repressor 7op
128;NA;NA;NA;NA;NA;NA;NA;15;no repressor 7op
129;NA;NA;NA;NA;NA;NA;NA;17;no repressor 7op
130;NA;NA;NA;NA;NA;NA;NA;21;no repressor 7op
131;NA;NA;NA;NA;NA;NA;NA;23;no repressor 7op
132;NA;NA;NA;NA;NA;NA;NA;25;no repressor 7op
133;NA;NA;NA;NA;NA;NA;NA;30;no repressor 7op
134;NA;NA;NA;NA;NA;NA;NA;35;no repressor 7op
135;NA;NA;NA;NA;NA;NA;NA;40;no repressor 7op
136;NA;NA;NA;NA;NA;NA;NA;50;no repressor 7op
137;NA;NA;NA;NA;NA;NA;NA;60;no repressor 7op
138;NA;NA;NA;NA;NA;NA;NA;75;no repressor 7op
139;NA;NA;NA;NA;NA;NA;NA;100;no repressor 7op
140;NA;NA;NA;NA;NA;NA;NA;150;no repressor 7op
141;NA;NA;NA;NA;NA;NA;NA;200;no repressor 7op
142;NA;NA;NA;NA;NA;NA;NA;300;no repressor 7op
143;NA;NA;NA;NA;NA;NA;NA;400;no repressor 7op
144;NA;NA;NA;NA;NA;NA;NA;600;no repressor 7op
