SimFluoValues,Dose,Repression_Coefficient,Draw
0.572387864583315,1,LacIrep2,1
0.577442194312972,100000,LacIrep2,1
1.12737288348212,300000,LacIrep2,1
13.5943512480332,700000,LacIrep2,1
32.5928953766832,1000000,LacIrep2,1
52.1673701896354,1500000,LacIrep2,1
58.3328145970921,2000000,LacIrep2,1
61.1444620051415,3000000,LacIrep2,1
61.8136213966145,5000000,LacIrep2,1
61.9155644034053,10000000,LacIrep2,1
61.9231243284904,40000000,LacIrep2,1
61.9231609743665,200000000,LacIrep2,1
0.524464727480819,1,LacIrep2,2
0.524556442221644,100000,LacIrep2,2
0.879869746055864,300000,LacIrep2,2
52.0706872322459,700000,LacIrep2,2
70.0375608516545,1000000,LacIrep2,2
71.8798973409698,1500000,LacIrep2,2
71.983455219978,2000000,LacIrep2,2
72.0082398659232,3000000,LacIrep2,2
72.0088264603034,5000000,LacIrep2,2
71.9968541125682,10000000,LacIrep2,2
72.0088408054515,40000000,LacIrep2,2
72.0088408054697,200000000,LacIrep2,2
0.521247017013338,1,LacIrep2,3
0.523718241134188,100000,LacIrep2,3
1.06338430557938,300000,LacIrep2,3
19.4680335312706,700000,LacIrep2,3
37.6382322334844,1000000,LacIrep2,3
46.0139609182647,1500000,LacIrep2,3
47.3641435267838,2000000,LacIrep2,3
47.7762909050465,3000000,LacIrep2,3
47.8411158968673,5000000,LacIrep2,3
47.8473413407169,10000000,LacIrep2,3
47.8475873344584,40000000,LacIrep2,3
47.8475838970437,200000000,LacIrep2,3
0.523114872368398,1,LacIrep2,4
0.531479101980658,100000,LacIrep2,4
1.35014148675579,300000,LacIrep2,4
17.709014750252,700000,LacIrep2,4
37.2546238607934,1000000,LacIrep2,4
52.7519093241589,1500000,LacIrep2,4
56.8936478841576,2000000,LacIrep2,4
58.6900330952967,3000000,LacIrep2,4
59.086637580946,5000000,LacIrep2,4
59.1589452702774,10000000,LacIrep2,4
59.1633943522489,40000000,LacIrep2,4
59.1629504354214,200000000,LacIrep2,4
0.521787691873417,1,LacIrep2,5
0.687447647810404,100000,LacIrep2,5
42.7571804734644,300000,LacIrep2,5
51.542653493872,700000,LacIrep2,5
51.580327931246,1000000,LacIrep2,5
51.5840106263334,1500000,LacIrep2,5
51.5843735387577,2000000,LacIrep2,5
51.5842998397867,3000000,LacIrep2,5
51.5844184837516,5000000,LacIrep2,5
51.584418599732,10000000,LacIrep2,5
51.584418598811,40000000,LacIrep2,5
51.584418598811,200000000,LacIrep2,5
0.521264131066894,1,LacIrep2,6
0.525851744733794,100000,LacIrep2,6
1.15108673438541,300000,LacIrep2,6
18.1379338131425,700000,LacIrep2,6
37.7187202343417,1000000,LacIrep2,6
49.836587056696,1500000,LacIrep2,6
52.3156125345089,2000000,LacIrep2,6
53.1929521537532,3000000,LacIrep2,6
53.3578561591653,5000000,LacIrep2,6
53.3770018165817,10000000,LacIrep2,6
53.3779903442214,40000000,LacIrep2,6
53.3779927471465,200000000,LacIrep2,6
0.52020459181096,1,LacIrep2,7
4.53734910552555,100000,LacIrep2,7
11.8728716803727,300000,LacIrep2,7
22.0542501108402,700000,LacIrep2,7
27.2805529101371,1000000,LacIrep2,7
33.406950066104,1500000,LacIrep2,7
37.6187896473931,2000000,LacIrep2,7
42.9991525081948,3000000,LacIrep2,7
48.5078943504099,5000000,LacIrep2,7
53.616605471728,10000000,LacIrep2,7
58.1745811679769,40000000,LacIrep2,7
59.4850018784656,200000000,LacIrep2,7
0.521154351899046,1,LacIrep2,8
1.73431730552233,100000,LacIrep2,8
27.1392100607134,300000,LacIrep2,8
47.0331385887651,700000,LacIrep2,8
48.4522201246737,1000000,LacIrep2,8
48.9095891120695,1500000,LacIrep2,8
49.0048978457003,2000000,LacIrep2,8
49.047276762496,3000000,LacIrep2,8
49.0588457330928,5000000,LacIrep2,8
49.0609768144908,10000000,LacIrep2,8
49.0612375213801,40000000,LacIrep2,8
49.0612393674505,200000000,LacIrep2,8
0.529495080685637,1,LacIrep2,9
0.53020542185799,100000,LacIrep2,9
0.868829997954254,300000,LacIrep2,9
21.3226862774395,700000,LacIrep2,9
44.4185848718121,1000000,LacIrep2,9
53.4509581059061,1500000,LacIrep2,9
54.5718618329123,2000000,LacIrep2,9
54.8515122588965,3000000,LacIrep2,9
54.8857583428065,5000000,LacIrep2,9
54.8880985292253,10000000,LacIrep2,9
54.88815940928,40000000,LacIrep2,9
54.8881594480041,200000000,LacIrep2,9
0.542108946313988,1,LacIrep2,10
0.607713251338962,100000,LacIrep2,10
2.57968391521261,300000,LacIrep2,10
19.6000797592559,700000,LacIrep2,10
34.5063083233475,1000000,LacIrep2,10
47.6756213399237,1500000,LacIrep2,10
52.4863773725422,2000000,LacIrep2,10
55.2691445529988,3000000,LacIrep2,10
56.2426907193066,5000000,LacIrep2,10
56.5024379537032,10000000,LacIrep2,10
56.5385561626924,40000000,LacIrep2,10
56.5390989841268,200000000,LacIrep2,10
0.520429372264767,1,LacIrep2,11
0.520429373698821,100000,LacIrep2,11
0.520547869365898,300000,LacIrep2,11
1.0698583088563,700000,LacIrep2,11
14.6457616235018,1000000,LacIrep2,11
53.409834529048,1500000,LacIrep2,11
56.0860356843749,2000000,LacIrep2,11
56.2589382242302,3000000,LacIrep2,11
56.262220371454,5000000,LacIrep2,11
56.2622160085534,10000000,LacIrep2,11
56.2622420515218,40000000,LacIrep2,11
56.2622420515219,200000000,LacIrep2,11
0.522265215890353,1,LacIrep2,12
0.523412049830225,100000,LacIrep2,12
0.787523781187876,300000,LacIrep2,12
10.7301404589962,700000,LacIrep2,12
28.221280919148,1000000,LacIrep2,12
43.956811131814,1500000,LacIrep2,12
47.7393374617613,2000000,LacIrep2,12
49.1260231374998,3000000,LacIrep2,12
49.380477912572,5000000,LacIrep2,12
49.4089880738636,10000000,LacIrep2,12
49.4104080258598,40000000,LacIrep2,12
49.4104112719739,200000000,LacIrep2,12
0.529837503884366,1,LacIrep2,13
0.760708627619399,100000,LacIrep2,13
10.5786118383491,300000,LacIrep2,13
47.2578899876184,700000,LacIrep2,13
54.5746068247563,1000000,LacIrep2,13
57.2258021196739,1500000,LacIrep2,13
57.7620153397368,2000000,LacIrep2,13
58.0063325688347,3000000,LacIrep2,13
58.0704477872968,5000000,LacIrep2,13
58.081983726559,10000000,LacIrep2,13
58.0830667306692,40000000,LacIrep2,13
58.0830748658477,200000000,LacIrep2,13
0.53562005786861,1,LacIrep2,14
0.535816601559263,100000,LacIrep2,14
0.818931460257504,300000,LacIrep2,14
32.4596685430413,700000,LacIrep2,14
55.9273718118424,1000000,LacIrep2,14
60.5321561074578,1500000,LacIrep2,14
60.8728208270546,2000000,LacIrep2,14
60.9328713804876,3000000,LacIrep2,14
60.9375782559882,5000000,LacIrep2,14
60.9377610453182,10000000,LacIrep2,14
60.9377668224229,40000000,LacIrep2,14
60.9377668227586,200000000,LacIrep2,14
0.540858970210523,1,LacIrep2,15
0.588755261073047,100000,LacIrep2,15
1.50728867060927,300000,LacIrep2,15
8.43245239470708,700000,LacIrep2,15
17.3476310485545,1000000,LacIrep2,15
33.1287153229507,1500000,LacIrep2,15
45.0579559803572,2000000,LacIrep2,15
57.3704682919934,3000000,LacIrep2,15
64.5244652289935,5000000,LacIrep2,15
67.1160605310427,10000000,LacIrep2,15
67.6635779889724,40000000,LacIrep2,15
