SimFluoValues,Dose,Repression_Coefficient,Draw
0.533909793109331,1,LacIrep3,1
0.533910184430219,100000,LacIrep3,1
0.533919417474818,300000,LacIrep3,1
0.534029524829741,700000,LacIrep3,1
0.534234889604738,1000000,LacIrep3,1
0.534969238440157,1500000,LacIrep3,1
0.53631970221696,2000000,LacIrep3,1
0.541584336063942,3000000,LacIrep3,1
0.566862243982828,5000000,LacIrep3,1
0.771861044464186,10000000,LacIrep3,1
12.1021846461733,40000000,LacIrep3,1
153.502625482275,200000000,LacIrep3,1
0.538411763084704,1,LacIrep3,2
0.538898632667702,100000,LacIrep3,2
0.542250749848001,300000,LacIrep3,2
0.556178943245206,700000,LacIrep3,2
0.57215240844483,1000000,LacIrep3,2
0.608211137662337,1500000,LacIrep3,2
0.654866789676411,2000000,LacIrep3,2
0.778290279241952,3000000,LacIrep3,2
1.1352093977042,5000000,LacIrep3,2
2.57205928198342,10000000,LacIrep3,2
21.8726306962574,40000000,LacIrep3,2
124.505092020693,200000000,LacIrep3,2
0.532400536845203,1,LacIrep3,3
0.532400537060927,100000,LacIrep3,3
0.532400552885273,300000,LacIrep3,3
0.532400934653192,700000,LacIrep3,3
0.532402067158198,1000000,LacIrep3,3
0.532407336505539,1500000,LacIrep3,3
0.532421184577703,2000000,LacIrep3,3
0.532495421885976,3000000,LacIrep3,3
0.533045479080209,5000000,LacIrep3,3
0.540770571158953,10000000,LacIrep3,3
1.94831206355675,40000000,LacIrep3,3
131.606758355205,200000000,LacIrep3,3
0.522422272890979,1,LacIrep3,4
0.522423319044393,100000,LacIrep3,4
0.522452643505474,300000,LacIrep3,4
0.522810905180601,700000,LacIrep3,4
0.523545077201303,1000000,LacIrep3,4
0.526186969748965,1500000,LacIrep3,4
0.531286678238875,2000000,LacIrep3,4
0.551984768773219,3000000,LacIrep3,4
0.657457336376646,5000000,LacIrep3,4
1.5754786288118,10000000,LacIrep3,4
49.7535424127016,40000000,LacIrep3,4
199.546342970955,200000000,LacIrep3,4
0.520861881151912,1,LacIrep3,5
0.520861881151912,100000,LacIrep3,5
0.520861881151919,300000,LacIrep3,5
0.520861881153579,700000,LacIrep3,5
0.520861881168875,1000000,LacIrep3,5
0.520861881387951,1500000,LacIrep3,5
0.520861901075221,2000000,LacIrep3,5
0.520861921190327,3000000,LacIrep3,5
0.520862488006521,5000000,LacIrep3,5
0.520916911532998,10000000,LacIrep3,5
0.949398210035903,40000000,LacIrep3,5
179.523795650243,200000000,LacIrep3,5
0.540978234434036,1,LacIrep3,6
0.540978234434037,100000,LacIrep3,6
0.540978234434449,300000,LacIrep3,6
0.54097823449183,700000,LacIrep3,6
0.540978234890503,1000000,LacIrep3,6
