SimFluoValues,Dose,Repression_Coefficient,Draw
0.525989428235654,1,LacIrep3,1
0.525989428235656,100000,LacIrep3,1
0.525989428236387,300000,LacIrep3,1
0.525989428305754,700000,LacIrep3,1
0.525989428706034,1000000,LacIrep3,1
0.525989432302115,1500000,LacIrep3,1
0.525989446929391,2000000,LacIrep3,1
0.525989589029567,3000000,LacIrep3,1
0.525991898738536,5000000,LacIrep3,1
0.526086622259721,10000000,LacIrep3,1
0.674610782737651,40000000,LacIrep3,1
52.020864592833,200000000,LacIrep3,1
0.526829963595612,1,LacIrep3,2
0.526829963595612,100000,LacIrep3,2
0.526829963595612,300000,LacIrep3,2
0.526829963595612,700000,LacIrep3,2
0.526829963595612,1000000,LacIrep3,2
0.52682996359562,1500000,LacIrep3,2
0.526829963595679,2000000,LacIrep3,2
0.526829963597838,3000000,LacIrep3,2
0.526829963792304,5000000,LacIrep3,2
0.526830048742621,10000000,LacIrep3,2
0.542646359051885,40000000,LacIrep3,2
57.6551242872292,200000000,LacIrep3,2
0.521687715818778,1,LacIrep3,3
0.52168771939876,100000,LacIrep3,3
0.521687853974775,300000,LacIrep3,3
0.521689793801333,700000,LacIrep3,3
0.521694021854598,1000000,LacIrep3,3
0.521709759341687,1500000,LacIrep3,3
0.521741301366587,2000000,LacIrep3,3
0.521872074103342,3000000,LacIrep3,3
0.522579358973181,5000000,LacIrep3,3
0.529180603869758,10000000,LacIrep3,3
1.04250892673078,40000000,LacIrep3,3
31.1608048797146,200000000,LacIrep3,3
0.557886477431225,1,LacIrep3,4
0.557886478139647,100000,LacIrep3,4
0.557886526072784,300000,LacIrep3,4
0.55788767423417,700000,LacIrep3,4
0.557891061335941,1000000,LacIrep3,4
0.557907752500232,1500000,LacIrep3,4
0.557950397757027,2000000,LacIrep3,4
0.558174730178078,3000000,LacIrep3,4
0.559845414080584,5000000,LacIrep3,4
0.584034386454586,10000000,LacIrep3,4
4.90849017750463,40000000,LacIrep3,4
63.1256404347484,200000000,LacIrep3,4
0.560145229718553,1,LacIrep3,5
0.560161110020096,100000,LacIrep3,5
0.560353123696386,300000,LacIrep3,5
0.561602129735908,700000,LacIrep3,5
0.563421011560356,1000000,LacIrep3,5
0.568388912421277,1500000,LacIrep3,5
0.575986225318296,2000000,LacIrep3,5
0.599850665638188,3000000,LacIrep3,5
0.686325157835915,5000000,LacIrep3,5
1.16163429523453,10000000,LacIrep3,5
11.765128743525,40000000,LacIrep3,5
51.223505457598,200000000,LacIrep3,5
0.527300559266899,1,LacIrep3,6
0.527300596177168,100000,LacIrep3,6
0.527301667180107,300000,LacIrep3,6
0.527314699924792,700000,LacIrep3,6
0.527341160462675,1000000,LacIrep3,6
0.527432709484857,1500000,LacIrep3,6
0.527608375324392,2000000,LacIrep3,6
0.528309717444368,3000000,LacIrep3,6
0.531789717050558,5000000,LacIrep3,6
0.561301142665985,10000000,LacIrep3,6
2.40506080404165,40000000,LacIrep3,6
43.5697818502123,200000000,LacIrep3,6
0.524663660973065,1,LacIrep3,7
0.524663661314269,100000,LacIrep3,7
0.524663698088437,300000,LacIrep3,7
0.52466479182676,700000,LacIrep3,7
0.52466865123796,1000000,LacIrep3,7
0.524689829524513,1500000,LacIrep3,7
0.524748274152647,2000000,LacIrep3,7
0.525105752439289,3000000,LacIrep3,7
0.528223600042502,5000000,LacIrep3,7
0.584377108381009,10000000,LacIrep3,7
12.9032828558219,40000000,LacIrep3,7
