SimFluoValues,Dose,Repression_Coefficient,Draw
0.539091626376996,1,LacIrep3,1
0.544244908605046,100000,LacIrep3,1
0.565403496568194,300000,LacIrep3,1
0.627754231896315,700000,LacIrep3,1
0.685912267264135,1000000,LacIrep3,1
0.799931926243047,1500000,LacIrep3,1
0.929815816923532,2000000,LacIrep3,1
1.22810167136974,3000000,LacIrep3,1
1.93448804734342,5000000,LacIrep3,1
4.07519769053362,10000000,LacIrep3,1
17.672002688623,40000000,LacIrep3,1
40.3395217471531,200000000,LacIrep3,1
0.520611401194597,1,LacIrep3,2
0.520613199700409,100000,LacIrep3,2
0.520648878714798,300000,LacIrep3,2
0.520984809372383,700000,LacIrep3,2
0.521587926567786,1000000,LacIrep3,2
0.523518855187261,1500000,LacIrep3,2
0.526911437556454,2000000,LacIrep3,2
0.539295468431423,3000000,LacIrep3,2
0.593978920989308,5000000,LacIrep3,2
0.986498888038412,10000000,LacIrep3,2
13.5373140819746,40000000,LacIrep3,2
39.4500518330034,200000000,LacIrep3,2
0.521324022081406,1,LacIrep3,3
0.521324022081406,100000,LacIrep3,3
0.521324022081406,300000,LacIrep3,3
0.521324022081406,700000,LacIrep3,3
0.521324022081406,1000000,LacIrep3,3
0.521324022081407,1500000,LacIrep3,3
0.521324022081426,2000000,LacIrep3,3
0.521324022082163,3000000,LacIrep3,3
0.521324022153922,5000000,LacIrep3,3
0.521324057362512,10000000,LacIrep3,3
0.529731386311753,40000000,LacIrep3,3
45.8869008831041,200000000,LacIrep3,3
0.522103634383794,1,LacIrep3,4
0.522103634418958,100000,LacIrep3,4
0.522103639490762,300000,LacIrep3,4
0.522103842399045,700000,LacIrep3,4
0.522104688922291,1000000,LacIrep3,4
0.522110021320384,1500000,LacIrep3,4
0.522126009137585,2000000,LacIrep3,4
0.52223438507366,3000000,LacIrep3,4
0.523319184853154,5000000,LacIrep3,4
0.54710470610998,10000000,LacIrep3,4
9.36291527173651,40000000,LacIrep3,4
54.614071545214,200000000,LacIrep3,4
0.53679260724781,1,LacIrep3,5
0.53679260724781,100000,LacIrep3,5
0.53679260724781,300000,LacIrep3,5
0.53679260724781,700000,LacIrep3,5
0.53679260724781,1000000,LacIrep3,5
0.53679260724781,1500000,LacIrep3,5
0.53679260724781,2000000,LacIrep3,5
0.536792607247814,3000000,LacIrep3,5
0.536792607248063,5000000,LacIrep3,5
