SimFluoValues,Dose,Repression_Coefficient,Draw
0.533910286095825,1,LacIrep1,1
175.742856588421,100000,LacIrep1,1
175.846364880627,300000,LacIrep1,1
175.850280417944,700000,LacIrep1,1
175.850519535867,1000000,LacIrep1,1
175.850611767828,1500000,LacIrep1,1
175.850635375998,2000000,LacIrep1,1
175.850648068516,3000000,LacIrep1,1
175.850652529184,5000000,LacIrep1,1
175.850653695113,10000000,LacIrep1,1
175.850653878965,40000000,LacIrep1,1
175.850653882531,200000000,LacIrep1,1
0.538413803434163,1,LacIrep1,2
46.0233504487662,100000,LacIrep1,2
128.362651116081,300000,LacIrep1,2
162.406617674991,700000,LacIrep1,2
168.597451653891,1000000,LacIrep1,2
171.712805245344,1500000,LacIrep1,2
173.074370872399,2000000,LacIrep1,2
174.13241927685,3000000,LacIrep1,2
174.735343424144,5000000,LacIrep1,2
175.024449885282,10000000,LacIrep1,2
175.13319020095,40000000,LacIrep1,2
175.142686290872,200000000,LacIrep1,2
0.532400425833565,1,LacIrep1,3
171.997564225783,100000,LacIrep1,3
172.035951845921,300000,LacIrep1,3
172.036454209899,700000,LacIrep1,3
172.036469870926,1000000,LacIrep1,3
172.036474226855,1500000,LacIrep1,3
172.036475035288,2000000,LacIrep1,3
172.036433015178,3000000,LacIrep1,3
172.036475442426,5000000,LacIrep1,3
172.036475455342,10000000,LacIrep1,3
172.036475456405,40000000,LacIrep1,3
172.03647545641,200000000,LacIrep1,3
0.53560238510465,1,LacIrep1,4
204.86787229977,100000,LacIrep1,4
204.867893763419,300000,LacIrep1,4
204.867893778037,700000,LacIrep1,4
204.867893778853,1000000,LacIrep1,4
204.86789378228,1500000,LacIrep1,4
204.867893782355,2000000,LacIrep1,4
204.867893779264,3000000,LacIrep1,4
204.867893779278,5000000,LacIrep1,4
204.867893779282,10000000,LacIrep1,4
204.867893779282,40000000,LacIrep1,4
204.867893779282,200000000,LacIrep1,4
0.520861891734518,1,LacIrep1,5
181.793050964269,100000,LacIrep1,5
181.795778517809,300000,LacIrep1,5
181.795780177476,700000,LacIrep1,5
181.795780182086,1000000,LacIrep1,5
181.795780183972,1500000,LacIrep1,5
181.795780184011,2000000,LacIrep1,5
181.795780184018,3000000,LacIrep1,5
181.795780184015,5000000,LacIrep1,5
181.795780184015,10000000,LacIrep1,5
181.795780184015,40000000,LacIrep1,5
181.795780184015,200000000,LacIrep1,5
0.54097819878598,1,LacIrep1,6
