SimFluoValues,Dose,Repression_Coefficient,Draw
0.520853353842566,1,LacIrep1,1
26.1910161663254,100000,LacIrep1,1
62.4495319992601,300000,LacIrep1,1
65.1746335000146,700000,LacIrep1,1
65.3244195368472,1000000,LacIrep1,1
65.3781644814847,1500000,LacIrep1,1
65.3909540717622,2000000,LacIrep1,1
65.397397052011,3000000,LacIrep1,1
65.3994729556141,5000000,LacIrep1,1
65.3999589798253,10000000,LacIrep1,1
65.4000247113654,40000000,LacIrep1,1
65.4000256777643,200000000,LacIrep1,1
0.520778610180688,1,LacIrep1,2
27.1626595205027,100000,LacIrep1,2
58.2384995134826,300000,LacIrep1,2
60.715090205895,700000,LacIrep1,2
60.8664042674346,1000000,LacIrep1,2
60.9237601177863,1500000,LacIrep1,2
60.9381611286807,2000000,LacIrep1,2
60.9457702277666,3000000,LacIrep1,2
60.9484167088557,5000000,LacIrep1,2
60.9490448054017,10000000,LacIrep1,2
60.949145021044,40000000,LacIrep1,2
60.9491468243668,200000000,LacIrep1,2
0.52068172215071,1,LacIrep1,3
23.7513144397971,100000,LacIrep1,3
58.0501789213825,300000,LacIrep1,3
62.092860616264,700000,LacIrep1,3
62.389144438453,1000000,LacIrep1,3
62.5114950941413,1500000,LacIrep1,3
62.5446587124418,2000000,LacIrep1,3
62.5634133019041,3000000,LacIrep1,3
62.5704569657742,5000000,LacIrep1,3
62.5724594721852,10000000,LacIrep1,3
62.5728148144686,40000000,LacIrep1,3
62.5728233241355,200000000,LacIrep1,3
0.520710750126149,1,LacIrep1,4
29.2958129296775,100000,LacIrep1,4
54.3582912784649,300000,LacIrep1,4
56.6305884878656,700000,LacIrep1,4
56.8004339319589,1000000,LacIrep1,4
56.8714957903864,1500000,LacIrep1,4
56.891138813076,2000000,LacIrep1,4
56.9024518984164,3000000,LacIrep1,4
56.9068382844247,5000000,LacIrep1,4
56.9080841695713,10000000,LacIrep1,4
56.9083212398511,40000000,LacIrep1,4
56.9083273874523,200000000,LacIrep1,4
0.5206429823787,1,LacIrep1,5
19.2847494309736,100000,LacIrep1,5
55.5980417899301,300000,LacIrep1,5
59.5725670125017,700000,LacIrep1,5
59.8196561824914,1000000,LacIrep1,5
59.9131670194079,1500000,LacIrep1,5
59.9364728400309,2000000,LacIrep1,5
59.9486987888568,3000000,LacIrep1,5
59.9528541851035,5000000,LacIrep1,5
59.9538949032351,10000000,LacIrep1,5
59.9540494707603,40000000,LacIrep1,5
59.9540521624608,200000000,LacIrep1,5
0.520553674652099,1,LacIrep1,6
17.0172635351283,100000,LacIrep1,6
50.169982256371,300000,LacIrep1,6
53.6083701761436,700000,LacIrep1,6
53.8106287915951,1000000,LacIrep1,6
53.8849005376566,1500000,LacIrep1,6
53.9029787144301,2000000,LacIrep1,6
53.9122413322752,3000000,LacIrep1,6
53.9154826568638,5000000,LacIrep1,6
53.9162168298197,10000000,LacIrep1,6
53.9161298305455,40000000,LacIrep1,6
53.9161314554181,200000000,LacIrep1,6
0.520819279148886,1,LacIrep1,7
29.4401317066808,100000,LacIrep1,7
60.0970790129681,300000,LacIrep1,7
63.0323054761099,700000,LacIrep1,7
63.2419794106438,1000000,LacIrep1,7
63.3279297897666,1500000,LacIrep1,7
63.3511913557721,2000000,LacIrep1,7
63.3643392279513,3000000,LacIrep1,7
63.3692380136108,5000000,LacIrep1,7
63.370640750056,10000000,LacIrep1,7
63.3709265038629,40000000,LacIrep1,7
63.3709324604467,200000000,LacIrep1,7
0.520647798676587,1,LacIrep1,8
18.8486347815865,100000,LacIrep1,8
50.7883346030548,300000,LacIrep1,8
55.7927693903717,700000,LacIrep1,8
56.2126245731824,1000000,LacIrep1,8
56.3950511895275,1500000,LacIrep1,8
56.4476164921581,2000000,LacIrep1,8
56.4788693867145,3000000,LacIrep1,8
56.4914260100211,5000000,LacIrep1,8
56.4953088814572,10000000,LacIrep1,8
56.4960855762661,40000000,LacIrep1,8
56.4961085810907,200000000,LacIrep1,8
0.520663614500834,1,LacIrep1,9
24.9357416103495,100000,LacIrep1,9
57.8138984895661,300000,LacIrep1,9
61.0132799456442,700000,LacIrep1,9
61.2258050873303,1000000,LacIrep1,9
61.3094270699054,1500000,LacIrep1,9
61.3311987140646,2000000,LacIrep1,9
61.343243534728,3000000,LacIrep1,9
61.3474744853568,5000000,LacIrep1,9
61.3486026268365,10000000,LacIrep1,9
61.348593245482,40000000,LacIrep1,9
61.3487892734489,200000000,LacIrep1,9
0.520659566031953,1,LacIrep1,10
24.2291246069756,100000,LacIrep1,10
57.1605770519042,300000,LacIrep1,10
60.6775668971975,700000,LacIrep1,10
60.9255546288359,1000000,LacIrep1,10
61.0258949584188,1500000,LacIrep1,10
61.052731747792,2000000,LacIrep1,10
61.0677051223079,3000000,LacIrep1,10
61.0732301538045,5000000,LacIrep1,10
61.0749439494471,10000000,LacIrep1,10
61.0750306010706,40000000,LacIrep1,10
61.0752141271317,200000000,LacIrep1,10
0.520632634611636,1,LacIrep1,11
25.1199571470819,100000,LacIrep1,11
52.3053407001001,300000,LacIrep1,11
55.1806383279463,700000,LacIrep1,11
55.3970638948287,1000000,LacIrep1,11
55.4884420046594,1500000,LacIrep1,11
55.5138154473897,2000000,LacIrep1,11
55.5284838515985,3000000,LacIrep1,11
55.5341572954661,5000000,LacIrep1,11
55.53583195744,10000000,LacIrep1,11
55.5361453446594,40000000,LacIrep1,11
55.536153595252,200000000,LacIrep1,11
0.520806112867647,1,LacIrep1,12
29.9422076217751,100000,LacIrep1,12
59.7443678460404,300000,LacIrep1,12
62.3117467718501,700000,LacIrep1,12
62.4849591497798,1000000,LacIrep1,12
62.5540310881575,1500000,LacIrep1,12
62.572227069559,2000000,LacIrep1,12
62.5822316480116,3000000,LacIrep1,12
62.5859170077753,5000000,LacIrep1,12
62.5869129512858,10000000,LacIrep1,12
62.5870446295644,40000000,LacIrep1,12
62.5870482326906,200000000,LacIrep1,12
0.520778855332863,1,LacIrep1,13
18.5346839163943,100000,LacIrep1,13
52.7606931717818,300000,LacIrep1,13
57.0829526995597,700000,LacIrep1,13
57.3826306309585,1000000,LacIrep1,13
57.5298834345879,1500000,LacIrep1,13
57.5614825539758,2000000,LacIrep1,13
57.5788609178313,3000000,LacIrep1,13
57.5852216829746,5000000,LacIrep1,13
57.5869261985466,10000000,LacIrep1,13
57.5871360141738,40000000,LacIrep1,13
57.5872150781423,200000000,LacIrep1,13
0.520590993497167,1,LacIrep1,14
25.8719210818361,100000,LacIrep1,14
53.871445430315,300000,LacIrep1,14
56.2041196501773,700000,LacIrep1,14
56.3540598113271,1000000,LacIrep1,14
