SimFluoValues,Dose,Repression_Coefficient,Draw
0.545143220666819,1,LacIrep1,1
47.409390913135,100000,LacIrep1,1
47.5029472720789,300000,LacIrep1,1
47.5190455178176,700000,LacIrep1,1
47.5217453044984,1000000,LacIrep1,1
47.5235314247919,1500000,LacIrep1,1
47.5243000664867,2000000,LacIrep1,1
47.5249671809336,3000000,LacIrep1,1
47.5254101169816,5000000,LacIrep1,1
47.5256715291319,10000000,LacIrep1,1
47.5258068096713,40000000,LacIrep1,1
47.5258268288086,200000000,LacIrep1,1
0.520611418835595,1,LacIrep1,2
40.4009900044533,100000,LacIrep1,2
40.5309581441525,300000,LacIrep1,2
40.5365013118073,700000,LacIrep1,2
40.5368831690386,1000000,LacIrep1,2
40.5370400470462,1500000,LacIrep1,2
40.5370827656855,2000000,LacIrep1,2
40.5371070638521,3000000,LacIrep1,2
40.537116268545,5000000,LacIrep1,2
40.53710673501,10000000,LacIrep1,2
40.5371193938944,40000000,LacIrep1,2
40.5371072246221,200000000,LacIrep1,2
0.521324021445339,1,LacIrep1,3
46.0301830664399,100000,LacIrep1,3
46.0302980117364,300000,LacIrep1,3
46.0302980160416,700000,LacIrep1,3
46.0302980164176,1000000,LacIrep1,3
46.0302980164177,1500000,LacIrep1,3
46.0302980164177,2000000,LacIrep1,3
46.0302980164177,3000000,LacIrep1,3
46.0302980164177,5000000,LacIrep1,3
46.0302980164177,10000000,LacIrep1,3
46.0302980164177,40000000,LacIrep1,3
46.0302980164177,200000000,LacIrep1,3
0.52210364170337,1,LacIrep1,4
54.8560381880608,100000,LacIrep1,4
54.8560398361757,300000,LacIrep1,4
54.8560398467604,700000,LacIrep1,4
54.8560398469743,1000000,LacIrep1,4
54.8560398476022,1500000,LacIrep1,4
54.8560398470279,2000000,LacIrep1,4
54.85603984703,3000000,LacIrep1,4
54.8560398470308,5000000,LacIrep1,4
54.8560398470306,10000000,LacIrep1,4
54.8560398470306,40000000,LacIrep1,4
54.8560398470306,200000000,LacIrep1,4
0.536792631306576,1,LacIrep1,5
53.3773534885721,100000,LacIrep1,5
53.3773534888053,300000,LacIrep1,5
53.3773534888053,700000,LacIrep1,5
53.3773534888053,1000000,LacIrep1,5
53.3773534888053,1500000,LacIrep1,5
53.3773534888053,2000000,LacIrep1,5
53.3773534888053,3000000,LacIrep1,5
53.3773534888053,5000000,LacIrep1,5
53.3773534888053,10000000,LacIrep1,5
53.3773534888053,40000000,LacIrep1,5
53.3773534888053,200000000,LacIrep1,5
0.803262057967218,1,LacIrep1,6
51.9400847674432,100000,LacIrep1,6
52.0190769018849,300000,LacIrep1,6
52.0381812421807,700000,LacIrep1,6
52.0421064080584,1000000,LacIrep1,6
52.0450118456894,1500000,LacIrep1,6
52.0464001498072,2000000,LacIrep1,6
52.0477305256482,3000000,LacIrep1,6
52.0487368916999,5000000,LacIrep1,6
52.049439471767,10000000,LacIrep1,6
52.0499106065647,40000000,LacIrep1,6
52.0500159819728,200000000,LacIrep1,6
0.527655726464595,1,LacIrep1,7
48.1811750918911,100000,LacIrep1,7
48.1811752062858,300000,LacIrep1,7
48.1811752065901,700000,LacIrep1,7
48.1811752065931,1000000,LacIrep1,7
48.1811752065934,1500000,LacIrep1,7
48.1811752065936,2000000,LacIrep1,7
48.1811752065936,3000000,LacIrep1,7
48.1811752065936,5000000,LacIrep1,7
48.1811752065936,10000000,LacIrep1,7
48.1811752065936,40000000,LacIrep1,7
48.1811752065936,200000000,LacIrep1,7
0.536675423724618,1,LacIrep1,8
56.7694643216794,100000,LacIrep1,8
56.7694645946472,300000,LacIrep1,8
56.7694645973629,700000,LacIrep1,8
56.7694645973634,1000000,LacIrep1,8
56.7694645973635,1500000,LacIrep1,8
56.7694645973635,2000000,LacIrep1,8
56.7694645973635,3000000,LacIrep1,8
56.7694645973635,5000000,LacIrep1,8
56.7694645973635,10000000,LacIrep1,8
56.7694645973635,40000000,LacIrep1,8
56.7694645973635,200000000,LacIrep1,8
0.52248878836064,1,LacIrep1,9
60.5065947074771,100000,LacIrep1,9
60.5065971374279,300000,LacIrep1,9
60.5066304248572,700000,LacIrep1,9
60.506630426731,1000000,LacIrep1,9
60.5066304273177,1500000,LacIrep1,9
60.5066304360256,2000000,LacIrep1,9
60.5066304274338,3000000,LacIrep1,9
60.5066304360363,5000000,LacIrep1,9
60.5066304274535,10000000,LacIrep1,9
60.5066304275124,40000000,LacIrep1,9
60.5066304275124,200000000,LacIrep1,9
0.520395039038301,1,LacIrep1,10
62.3394085204256,100000,LacIrep1,10
62.3482517143593,300000,LacIrep1,10
62.3483283215524,700000,LacIrep1,10
62.3483301716567,1000000,LacIrep1,10
62.3483306284103,1500000,LacIrep1,10
62.3483307037257,2000000,LacIrep1,10
62.3483389286209,3000000,LacIrep1,10
62.3483389344502,5000000,LacIrep1,10
62.3483389353273,10000000,LacIrep1,10
62.3483389353798,40000000,LacIrep1,10
62.3483389353802,200000000,LacIrep1,10
0.535493401740288,1,LacIrep1,11
52.6528308462465,100000,LacIrep1,11
52.6530591552489,300000,LacIrep1,11
52.6530813794944,700000,LacIrep1,11
52.6530690384237,1000000,LacIrep1,11
52.6530692796504,1500000,LacIrep1,11
52.6530693435682,2000000,LacIrep1,11
52.6530693790476,3000000,LacIrep1,11
52.6530693920605,5000000,LacIrep1,11
52.6530693956533,10000000,LacIrep1,11
52.6530693962655,40000000,LacIrep1,11
52.6530693962792,200000000,LacIrep1,11
0.57853736462005,1,LacIrep1,12
33.6777066040783,100000,LacIrep1,12
66.5495107248582,300000,LacIrep1,12
66.7312868446417,700000,LacIrep1,12
66.7332764516095,1000000,LacIrep1,12
66.7336140496561,1500000,LacIrep1,12
66.7336526156123,2000000,LacIrep1,12
66.7336627353522,3000000,LacIrep1,12
66.7336641236607,5000000,LacIrep1,12
66.7336637803587,10000000,LacIrep1,12
66.7336637838546,40000000,LacIrep1,12
66.7336637838583,200000000,LacIrep1,12
0.529295865886566,1,LacIrep1,13
59.5613270515394,100000,LacIrep1,13
59.5617008264828,300000,LacIrep1,13
59.561708328959,700000,LacIrep1,13
59.5617086590458,1000000,LacIrep1,13
59.5617017035149,1500000,LacIrep1,13
59.5617087926539,2000000,LacIrep1,13
59.5617088039714,3000000,LacIrep1,13
59.5617088073986,5000000,LacIrep1,13
59.5617088081283,10000000,LacIrep1,13
59.5617088083901,40000000,LacIrep1,13
59.561708808391,200000000,LacIrep1,13
0.917882111229831,1,LacIrep1,14
49.0836895292499,100000,LacIrep1,14
52.5579417442784,300000,LacIrep1,14
53.9762402672524,700000,LacIrep1,14
54.3754599432616,1000000,LacIrep1,14
54.7290760169867,1500000,LacIrep1,14
54.9283947898831,2000000,LacIrep1,14
55.1540433585026,3000000,LacIrep1,14
55.362137115077,5000000,LacIrep1,14
55.5516932025354,10000000,LacIrep1,14
55.7453067124173,40000000,LacIrep1,14
55.8281554282916,200000000,LacIrep1,14
0.523934261937382,1,LacIrep1,15
45.8795512732764,100000,LacIrep1,15
46.8749774664902,300000,LacIrep1,15
46.8864449508342,700000,LacIrep1,15
46.8867828144499,1000000,LacIrep1,15
46.8868726570732,1500000,LacIrep1,15
46.8868888540201,2000000,LacIrep1,15
46.8868952655324,3000000,LacIrep1,15
46.8868967668094,5000000,LacIrep1,15
46.886892153452,10000000,LacIrep1,15
46.8868970200688,40000000,LacIrep1,15
46.8868970206164,200000000,LacIrep1,15
0.554134023408843,1,LacIrep1,16
58.2045579826973,100000,LacIrep1,16
58.2045585245857,300000,LacIrep1,16
58.2045585258979,700000,LacIrep1,16
58.2045585259178,1000000,LacIrep1,16
58.2045585259216,1500000,LacIrep1,16
58.2045585259222,2000000,LacIrep1,16
58.2045585259223,3000000,LacIrep1,16
58.2045585259223,5000000,LacIrep1,16
58.2045585259223,10000000,LacIrep1,16
58.2045585259223,40000000,LacIrep1,16
58.2045585259223,200000000,LacIrep1,16
0.520567683872893,1,LacIrep1,17
52.2852018494407,100000,LacIrep1,17
52.2852018552205,300000,LacIrep1,17
52.2852018552347,700000,LacIrep1,17
52.2852018552368,1000000,LacIrep1,17
52.2852018552342,1500000,LacIrep1,17
52.2852018552342,2000000,LacIrep1,17
52.2852018552342,3000000,LacIrep1,17
52.2852018552342,5000000,LacIrep1,17
52.2852018552342,10000000,LacIrep1,17
52.2852018552342,40000000,LacIrep1,17
52.2852018552342,200000000,LacIrep1,17
0.529931672966846,1,LacIrep1,18
48.8519626088624,100000,LacIrep1,18
48.8519626073863,300000,LacIrep1,18
48.851962607388,700000,LacIrep1,18
48.85196260739,1000000,LacIrep1,18
48.8519626073894,1500000,LacIrep1,18
48.8519626073894,2000000,LacIrep1,18
48.8519626073894,3000000,LacIrep1,18
48.8519626073894,5000000,LacIrep1,18
48.8519626073894,10000000,LacIrep1,18
48.8519626073894,40000000,LacIrep1,18
48.8519626073894,200000000,LacIrep1,18
0.523820617079064,1,LacIrep1,19
45.1054989345849,100000,LacIrep1,19
45.1054998201321,300000,LacIrep1,19
45.105499824536,700000,LacIrep1,19
45.1054998246022,1000000,LacIrep1,19
45.1054998246151,1500000,LacIrep1,19
45.105499824617,2000000,LacIrep1,19
