"","Median","Mean","Q1","Q3","Stdev","CoD","CoV","Dose","Strain","ON","PMT","Time","Y"
"32",30620,31971.3007804683,21046,41656,16908.3556175027,0.673089483997387,0.528860421839085,3000,"P4Lacn.2_cit + P4Lacn.2_LacI(W220F,Q60G, T167A)",0,"normal",20,3637
"33",38936,40175.0284170502,26640,51732,20729.840077205,0.644442161495788,0.515988187040268,5000,"P4Lacn.2_cit + P4Lacn.2_LacI(W220F,Q60G, T167A)",0,"normal",20,3637
"34",51386,54193.2973352034,36738.5,68116.5,25906.121471226,0.610633246409528,0.478031836870676,10000,"P4Lacn.2_cit + P4Lacn.2_LacI(W220F,Q60G, T167A)",0,"normal",20,3637
"35",60554,64185.7416382936,44209,79556,28537.2197871908,0.583726921425505,0.444603724422268,40000,"P4Lacn.2_cit + P4Lacn.2_LacI(W220F,Q60G, T167A)",0,"normal",20,3637
"36",59825,63685.7980364656,44709.5,77872.5,27566.8715858827,0.5543334726285,0.432857441310515,2e+05,"P4Lacn.2_cit + P4Lacn.2_LacI(W220F,Q60G, T167A)",0,"normal",20,3637
"37",2872,3362.33346685359,1997,4085,2891.40194145588,0.727019498607242,0.85993907801227,0,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"38",16943,18188.4257068378,11224.5,23158,10199.2580410878,0.704332172578646,0.560755405964213,100,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"39",33612,36323.4711538462,23627,45965.25,18563.8652935728,0.664591514935142,0.51107079538039,300,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"40",44049,46994.9228611501,31600.5,58316.5,22601.5938406772,0.606506390610457,0.480936928175311,700,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"41",47116,50238.5945945946,34059,62554,22754.1890684992,0.604783937515918,0.452922484239785,1000,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"42",43077,45118.1176117011,32109.5,55531,18350.4128485169,0.543712421942104,0.406719380592196,1500,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"43",45788,47999.7545582048,33628.5,59347.5,20305.059618141,0.561697387961911,0.423024238457698,2000,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"44",46297,48233.4181198637,33765,59908,20176.910387804,0.564680216860704,0.41831807021561,3000,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"45",44278,46063.5774619696,32757,56520.25,18365.6020378101,0.536683002845657,0.398701165860878,5000,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"46",51869,54956.9693448207,36930,67784,25116.9259887174,0.594844704929727,0.457028949888491,10000,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"47",52497,55926.5356068205,37757,69441,25375.6872699705,0.603539249861897,0.45373250809542,40000,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"48",49996,53846.1766593142,36497,66664.5,25006.4163796955,0.603398271861749,0.464404678867204,2e+05,"P3Lacn.5_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3660
"49",5336,5633.17872169906,3812.5,6997.5,2461.16108312117,0.596889055472264,0.436904491178446,0,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"50",5239,5606.74404642786,3820,6936,2503.52677528696,0.594769994273716,0.446520610635329,100,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"51",6109,6565.23432805928,4464,8085,3132.43404464287,0.592732034702897,0.477124484537452,300,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"52",11445,12686.0883059672,7387.25,16432,7422.97684421372,0.790279598077763,0.585127319405633,700,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"53",17994,19099.22002002,11477.5,25325,10891.3629520912,0.769562076247638,0.570251713979667,1000,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"54",31018.5,32407.6760817308,19948,42811,18085.7604752963,0.737076260941051,0.558070267972464,1500,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"55",38649.5,40263.732786229,26122.75,52713.25,20954.8656888965,0.687990789014088,0.520440213532898,2000,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"56",46751,48551.4804804805,32209.5,62582,23877.1974215363,0.649665247802186,0.49179133540811,3000,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"57",55210.5,58148.3869095276,40009.25,73107.25,26234.065075039,0.599487416342906,0.451157228417295,5000,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"58",71801,75266.9071071071,52253.5,93591,33455.1209164579,0.575723179342906,0.444486457625398,10000,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"59",76820,81836.300120048,56762,100302.25,35274.0540251668,0.566782738870086,0.431031876727348,40000,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"60",74314,78753.5048038431,54531.75,96630.75,33763.0607014902,0.566501601313346,0.428718198454611,2e+05,"P4Lacn.2_cit + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A)",0,"normal",20,3670
"61",4312,4609.0036021613,3142,5704,2095.81936183083,0.594155844155844,0.454722873474873,0,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"62",4200.5,4471.39262820513,3124,5491.5,1890.87990744352,0.563623378169266,0.422883889801139,100,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
