SimFluoValues,Dose,Repression_Coefficient,Draw,dose
0.526193339224997,0,LacIrep2,1,1
0.526347319897969,0,LacIrep2,1,100000
1.47928405865116,0,LacIrep2,1,300000
49.8539606309009,0,LacIrep2,1,700000
53.2658906464503,0,LacIrep2,1,1000000
53.5016739194243,0,LacIrep2,1,1500000
53.5112893168897,0,LacIrep2,1,2000000
53.5124091918147,0,LacIrep2,1,3000000
53.5124595728449,0,LacIrep2,1,5000000
53.5124605719692,0,LacIrep2,1,10000000
53.5124605766088,0,LacIrep2,1,40000000
53.5124605766089,0,LacIrep2,1,200000000
0.551766191170897,0,LacIrep2,2,1
0.994700507778663,0,LacIrep2,2,100000
5.94855379338914,0,LacIrep2,2,300000
23.7081610350759,0,LacIrep2,2,700000
33.4285487148651,0,LacIrep2,2,1000000
41.5424685155547,0,LacIrep2,2,1500000
44.9460524794142,0,LacIrep2,2,2000000
47.440000707091,0,LacIrep2,2,3000000
48.6345169218153,0,LacIrep2,2,5000000
49.091469269523,0,LacIrep2,2,10000000
49.1948295205162,0,LacIrep2,2,40000000
49.1990365682986,0,LacIrep2,2,200000000
0.531171074041833,0,LacIrep2,3,1
0.603617247061148,0,LacIrep2,3,100000
46.2307240025178,0,LacIrep2,3,300000
52.4178876481721,0,LacIrep2,3,700000
52.4317560344449,0,LacIrep2,3,1000000
52.4324767418205,0,LacIrep2,3,1500000
52.4325069179895,0,LacIrep2,3,2000000
52.4325105118488,0,LacIrep2,3,3000000
52.4325106769536,0,LacIrep2,3,5000000
52.4325106818038,0,LacIrep2,3,10000000
52.432510681831,0,LacIrep2,3,40000000
52.432510681831,0,LacIrep2,3,200000000
0.525261526324346,0,LacIrep2,4,1
0.527288780549306,0,LacIrep2,4,100000
1.01468244563107,0,LacIrep2,4,300000
19.7154561817928,0,LacIrep2,4,700000
41.1198325033605,0,LacIrep2,4,1000000
51.9420900691437,0,LacIrep2,4,1500000
53.6990802343208,0,LacIrep2,4,2000000
54.2392740257431,0,LacIrep2,4,3000000
54.3236589798426,0,LacIrep2,4,5000000
54.3315405372105,0,LacIrep2,4,10000000
54.331803927504,0,LacIrep2,4,40000000
54.3318043425995,0,LacIrep2,4,200000000
0.526252863601215,0,LacIrep2,5,1
0.529694510598941,0,LacIrep2,5,100000
1.78705408226024,0,LacIrep2,5,300000
33.8886268241702,0,LacIrep2,5,700000
44.9069559779649,0,LacIrep2,5,1000000
47.3890900757617,0,LacIrep2,5,1500000
47.666650924512,0,LacIrep2,5,2000000
47.7368242795764,0,LacIrep2,5,3000000
47.7457536260163,0,LacIrep2,5,5000000
47.7464018172862,0,LacIrep2,5,10000000
47.7464196849541,0,LacIrep2,5,40000000
47.7464196983182,0,LacIrep2,5,200000000
0.545242359226348,0,LacIrep2,6,1
0.545288066291583,0,LacIrep2,6,100000
0.562847613300304,0,LacIrep2,6,300000
1.9898538533878,0,LacIrep2,6,700000
8.45260431943684,0,LacIrep2,6,1000000
30.0120186742898,0,LacIrep2,6,1500000
42.3480701865109,0,LacIrep2,6,2000000
47.3694877935559,0,LacIrep2,6,3000000
48.1183092789724,0,LacIrep2,6,5000000
48.1779403851956,0,LacIrep2,6,10000000
48.1795244082255,0,LacIrep2,6,40000000
48.1796430558829,0,LacIrep2,6,200000000
0.52228273517005,0,LacIrep2,7,1
7.13049162222682,0,LacIrep2,7,100000
19.1253341549393,0,LacIrep2,7,300000
32.7637917680443,0,LacIrep2,7,700000
38.399624290019,0,LacIrep2,7,1000000
43.9643259653216,0,LacIrep2,7,1500000
47.1875987791823,0,LacIrep2,7,2000000
50.7631695633549,0,LacIrep2,7,3000000
53.8078374076457,0,LacIrep2,7,5000000
56.1364469878008,0,LacIrep2,7,10000000
57.6807415666214,0,LacIrep2,7,40000000
58.1513819636552,0,LacIrep2,7,200000000
0.520912451742682,0,LacIrep2,8,1
0.520912452309456,0,LacIrep2,8,100000
0.520917295777147,0,LacIrep2,8,300000
0.523413114647546,0,LacIrep2,8,700000
0.553790030130282,0,LacIrep2,8,1000000
1.11351349648207,0,LacIrep2,8,1500000
4.75991923652178,0,LacIrep2,8,2000000
30.6616524528244,0,LacIrep2,8,3000000
47.2335238604147,0,LacIrep2,8,5000000
47.951681021101,0,LacIrep2,8,10000000
47.9572133995851,0,LacIrep2,8,40000000
47.9572137193479,0,LacIrep2,8,200000000
0.520189603322032,0,LacIrep2,9,1
0.520189633705119,0,LacIrep2,9,100000
0.520486190781091,0,LacIrep2,9,300000
0.830081016138465,0,LacIrep2,9,700000
5.63680193880179,0,LacIrep2,9,1000000
38.7867248198078,0,LacIrep2,9,1500000
49.9435923989099,0,LacIrep2,9,2000000
51.4919256591437,0,LacIrep2,9,3000000
51.5534783983225,0,LacIrep2,9,5000000
51.5544860190925,0,LacIrep2,9,10000000
51.5544897839453,0,LacIrep2,9,40000000
51.5544897839984,0,LacIrep2,9,200000000
0.523224551167876,0,LacIrep2,10,1
0.747914004570318,0,LacIrep2,10,100000
10.6085141330775,0,LacIrep2,10,300000
43.5238284398653,0,LacIrep2,10,700000
49.4538626615483,0,LacIrep2,10,1000000
51.579192573114,0,LacIrep2,10,1500000
52.0293508647465,0,LacIrep2,10,2000000
52.2288617469454,0,LacIrep2,10,3000000
52.282033567214,0,LacIrep2,10,5000000
52.2917972675424,0,LacIrep2,10,10000000
52.2927410684047,0,LacIrep2,10,40000000
52.2927485622663,0,LacIrep2,10,200000000
0.524585326528004,0,LacIrep2,11,1
0.565674030352898,0,LacIrep2,11,100000
1.41331830987578,0,LacIrep2,11,300000
8.52997776337239,0,LacIrep2,11,700000
17.6940788256466,0,LacIrep2,11,1000000
32.5009474642142,0,LacIrep2,11,1500000
42.0973939477188,0,LacIrep2,11,2000000
50.4804900738229,0,LacIrep2,11,3000000
54.5213049634752,0,LacIrep2,11,5000000
