SimFluoValues,Dose,Repression_Coefficient,Draw,dose
0.526193400339401,0,LacIrep3,1,1
0.526193400339401,0,LacIrep3,1,100000
0.526193400339401,0,LacIrep3,1,300000
0.526193400339431,0,LacIrep3,1,700000
0.526193400339855,0,LacIrep3,1,1000000
0.526193400349805,0,LacIrep3,1,1500000
0.52619340043521,0,LacIrep3,1,2000000
0.52619340252321,0,LacIrep3,1,3000000
0.526193512400377,0,LacIrep3,1,5000000
0.526217621591289,0,LacIrep3,1,10000000
1.53210340347334,0,LacIrep3,1,40000000
53.5010327758315,0,LacIrep3,1,200000000
0.551766206748894,0,LacIrep3,2,1
0.551776424533917,0,LacIrep3,2,100000
0.551906699306201,0,LacIrep3,2,300000
0.552793692701377,0,LacIrep3,2,700000
0.554126308522167,0,LacIrep3,2,1000000
0.557832180560213,0,LacIrep3,2,1500000
0.563629997999359,0,LacIrep3,2,2000000
0.582215024951533,0,LacIrep3,2,3000000
0.651529097314921,0,LacIrep3,2,5000000
1.04779609282835,0,LacIrep3,2,10000000
10.5382761408374,0,LacIrep3,2,40000000
45.0809426873183,0,LacIrep3,2,200000000
0.531171109040771,0,LacIrep3,3,1
0.531171109040771,0,LacIrep3,3,100000
0.531171109040938,0,LacIrep3,3,300000
0.531171109153747,0,LacIrep3,3,700000
0.531171110777446,0,LacIrep3,3,1000000
0.531171129765012,0,LacIrep3,3,1500000
0.531171418641932,0,LacIrep3,3,2000000
0.531178572123921,0,LacIrep3,3,3000000
0.53153555992403,0,LacIrep3,3,5000000
0.603761157680545,0,LacIrep3,3,10000000
51.4912427608083,0,LacIrep3,3,40000000
52.4555778871624,0,LacIrep3,3,200000000
0.525261409920937,0,LacIrep3,4,1
0.525261409921482,0,LacIrep3,4,100000
0.525261410053563,0,LacIrep3,4,300000
0.525261417921556,0,LacIrep3,4,700000
0.525261454052474,0,LacIrep3,4,1000000
0.525261854662012,0,LacIrep3,4,1500000
0.525262640129541,0,LacIrep3,4,2000000
0.525269019429328,0,LacIrep3,4,3000000
0.525347107894435,0,LacIrep3,4,5000000
0.527573124655201,0,LacIrep3,4,10000000
2.15519127047613,0,LacIrep3,4,40000000
53.552828435254,0,LacIrep3,4,200000000
0.526252898544818,0,LacIrep3,5,1
0.526252898544825,0,LacIrep3,5,100000
0.526252898547322,0,LacIrep3,5,300000
0.526252898764575,0,LacIrep3,5,700000
0.526252899974362,0,LacIrep3,5,1000000
0.526252910501759,0,LacIrep3,5,1500000
0.526252952296768,0,LacIrep3,5,2000000
0.526253349779411,0,LacIrep3,5,3000000
0.526259440519648,0,LacIrep3,5,5000000
0.526503682064818,0,LacIrep3,5,10000000
0.869644335518847,0,LacIrep3,5,40000000
46.3252258210628,0,LacIrep3,5,200000000
0.545242778838079,0,LacIrep3,6,1
0.545242778838078,0,LacIrep3,6,100000
0.545242778838763,0,LacIrep3,6,300000
0.545242778895932,0,LacIrep3,6,700000
0.545242779206387,0,LacIrep3,6,1000000
0.54524278183769,0,LacIrep3,6,1500000
0.545242792079611,0,LacIrep3,6,2000000
0.545242885795484,0,LacIrep3,6,3000000
0.545244281696381,0,LacIrep3,6,5000000
0.545296208513949,0,LacIrep3,6,10000000
0.611692626997586,0,LacIrep3,6,40000000
40.7825208671498,0,LacIrep3,6,200000000
0.522208570683594,0,LacIrep3,7,1
0.551890743099035,0,LacIrep3,7,100000
0.63119164886055,0,LacIrep3,7,300000
0.811787129107067,0,LacIrep3,7,700000
0.957988673155816,0,LacIrep3,7,1000000
1.21220995599133,0,LacIrep3,7,1500000
1.47789783466237,0,LacIrep3,7,2000000
2.02662179586132,0,LacIrep3,7,3000000
3.16641598079692,0,LacIrep3,7,5000000
6.05525078620024,0,LacIrep3,7,10000000
20.1985987577919,0,LacIrep3,7,40000000
44.6395238045715,0,LacIrep3,7,200000000
0.520912453937191,0,LacIrep3,8,1
0.520912453937191,0,LacIrep3,8,100000
0.520912453937191,0,LacIrep3,8,300000
0.520912453937191,0,LacIrep3,8,700000
0.520912453937193,0,LacIrep3,8,1000000
0.520912453937236,0,LacIrep3,8,1500000
0.52091245393754,0,LacIrep3,8,2000000
0.520912453943409,0,LacIrep3,8,3000000
0.520912454167583,0,LacIrep3,8,5000000
0.520912484383137,0,LacIrep3,8,10000000
0.521464346631119,0,LacIrep3,8,40000000
23.7392726598883,0,LacIrep3,8,200000000
0.520189594296514,0,LacIrep3,9,1
0.520189594296514,0,LacIrep3,9,100000
0.520189594296514,0,LacIrep3,9,300000
0.520189594296514,0,LacIrep3,9,700000
0.520189594296514,0,LacIrep3,9,1000000
0.520189594296517,0,LacIrep3,9,1500000
0.520189594296536,0,LacIrep3,9,2000000
0.520189594297086,0,LacIrep3,9,3000000
0.520189594331888,0,LacIrep3,9,5000000
0.520189603187097,0,LacIrep3,9,10000000
0.520860085414631,0,LacIrep3,9,40000000
43.9118021255791,0,LacIrep3,9,200000000
0.523224662097107,0,LacIrep3,10,1
0.523224665613538,0,LacIrep3,10,100000
0.523224858688971,0,LacIrep3,10,300000
0.523228696094011,0,LacIrep3,10,700000
0.523239336048153,0,LacIrep3,10,1000000
0.523283957147255,0,LacIrep3,10,1500000
0.523388153129222,0,LacIrep3,10,2000000
0.52390038371292,0,LacIrep3,10,3000000
0.527253175772628,0,LacIrep3,10,5000000
0.568612924032532,0,LacIrep3,10,10000000
5.69309452039004,0,LacIrep3,10,40000000
50.6566537564052,0,LacIrep3,10,200000000
0.524585341360162,0,LacIrep3,11,1
0.524585713886124,0,LacIrep3,11,100000
0.524593647827992,0,LacIrep3,11,300000
0.524670150568132,0,LacIrep3,11,700000
0.524813659439628,0,LacIrep3,11,1000000
0.525277491594496,0,LacIrep3,11,1500000
